id,web_name,first_name,second_name,team_short,position,element_type,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,price_change_percent,dreamteam_count,ep_next,ep_this,event_points,form,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,known_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,scout_risks,scout_news_link,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90
11,White,Benjamin,White,ARS,DEF,2,True,False,0,0,198869,0,0,-4,4,0,1,0.0,0.0,0,0.0,False,Knee injury - Expected back 24 May,2026-05-11T00:00:10.901815Z,51,198869.jpg,3.8,False,0.5,False,,i,1,3,45,378865,0,434751,0,0.0,8.8,,241,2021-07-30,1997-10-08,False,p198869,699,0,1,5,6,0,0,0,0,0,0,3,181,154.8,133.4,54.0,34.3,38,28,15,53,9,0.45,0.69,1.14,8.68,,,,,,,[],https://www.arsenal.com/news/medical-update-ben-white?utm_source=premier_league&utm_medium=referral&utm_campaign=fantasy&utm_content=injuries-flag,344,130,267,73,344,113,355,118,0.06,0.0,0.09,0.15,1.12,0.77,226,33,739,256,81,29,269,100,1.16,0.64,6.82
13,Clarke,Brayden,Clarke,ARS,DEF,2,True,False,,,563324,0,0,-3,3,0,0,1.0,1.0,0,0.0,False,,,37,563324.jpg,0.0,False,0.5,False,,a,1,3,0,65565,0,85106,0,0.0,0.0,,,,,False,p563324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,529,186,510,185,478,180,532,186,0,0,0,0,0,0,838,267,306,109,540,186,279,105,0,0,0
14,Kacurri,Maldini,Kacurri,ARS,DEF,2,True,False,0,0,588793,0,0,-1,1,0,0,0.0,0.0,0,0.0,False,has joined Morecambe on loan for the rest of the season.,2025-09-22T21:14:30.857843Z,39,588793.jpg,0.0,False,0.1,False,,u,1,3,0,10218,0,22844,0,0.0,0.0,,,,,False,p588793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,577,210,563,209,532,205,580,210,0,0,0,0,0,0,798,232,369,144,588,210,501,180,0,0,0
15,Nichols,Josh,Nichols,ARS,DEF,2,True,False,,,499167,0,0,-3,3,0,0,1.0,1.0,0,0.0,False,,,37,499167.jpg,0.0,False,0.2,False,,a,1,3,0,34995,0,35855,0,0.0,0.0,,241,2024-07-24,2006-07-26,False,p499167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,528,185,508,183,476,178,531,185,0,0,0,0,0,0,836,265,304,107,539,185,364,132,0,0,0
16,Saka,Bukayo,Saka,ARS,MID,3,True,False,100,100,223340,0,0,0,0,0,3,7.0,1.0,0,0.0,False,,2026-03-30T10:00:10.614078Z,100,223340.jpg,5.1,False,11.6,False,,a,1,3,157,5027975,0,5509494,0,0.0,15.7,,241,2018-11-28,2001-09-05,False,p223340,2218,7,10,12,16,0,0,0,2,0,0,18,570,627.0,847.6,828.0,230.6,28,116,40,184,25,7.57,7.16,14.73,15.57,2,,2,,1,,[],,74,22,12,11,11,6,11,8,0.31,0.0,0.29,0.6,0.63,0.65,6,4,837,379,12,6,35,12,1.01,0.49,7.47
17,Ødegaard,Martin,Ødegaard,ARS,MID,3,True,False,100,100,184029,0,0,-2,2,0,1,3.5,1.0,0,0.0,False,,2026-05-01T14:00:09.623702Z,78,184029.jpg,3.1,False,1.7,False,,a,1,3,74,409252,0,664528,0,0.0,9.5,,161,2021-08-20,1998-12-17,False,p184029,1363,1,7,6,13,0,0,0,0,0,0,5,306,311.8,564.4,168.0,104.4,13,70,19,102,16,1.25,3.65,4.90,16.20,4,,,,3,,[],,238,100,44,38,218,117,138,75,0.08,0.0,0.24,0.32,1.07,0.86,19,13,831,374,187,73,156,50,1.06,0.4,6.74
18,Madueke,Noni,Madueke,ARS,MID,3,True,False,100,100,248857,0,0,-2,2,0,3,2.2,12.0,11,11.0,False,,2026-04-16T13:00:09.580957Z,68,248857.jpg,2.8,False,0.8,False,,a,1,3,72,391478,0,439154,0,1.6,10.6,,241,2025-07-18,2002-03-10,False,p248857,1205,3,1,8,9,0,0,0,0,0,0,9,254,257.4,352.8,404.0,101.3,14,35,21,70,16,1.23,2.86,4.09,12.77,3,,,,,,[],,272,115,113,79,77,45,145,79,0.09,0.0,0.21,0.3,0.95,0.67,43,27,7,3,230,90,218,75,1.2,0.6,5.23
19,Martinelli,Gabriel,Martinelli Silva,ARS,MID,3,True,False,100,100,444145,0,0,-2,2,0,0,1.2,8.0,7,7.0,False,,2025-12-24T02:30:10.584394Z,68,444145.jpg,1.9,False,0.9,False,,a,1,3,57,203187,0,278367,0,1.0,8.4,Gabriel Martinelli,30,2019-07-15,2001-06-18,False,p444145,1065,1,5,2,8,0,0,0,3,0,0,3,195,204.6,202.2,390.0,79.0,13,52,12,77,11,4.12,1.27,5.39,10.51,,,,,,,[],,308,131,204,135,82,49,209,99,0.35,0.0,0.11,0.46,0.89,0.68,44,28,25,11,372,161,208,72,0.93,0.17,6.51
20,Trossard,Leandro,Trossard,ARS,MID,3,True,False,100,100,116216,0,0,-4,4,0,2,5.5,1.0,0,0.0,False,,2026-03-24T00:00:10.597737Z,66,116216.jpg,3.8,False,1.8,False,,a,1,3,119,726467,0,554690,0,0.0,18.0,,21,2023-01-20,1994-12-04,False,p116216,1997,6,6,11,15,0,0,0,2,0,0,11,445,494.0,545.5,541.0,158.3,26,80,27,133,21,5.60,3.59,9.18,13.94,,,,,4,,[],,134,45,47,41,48,27,51,35,0.25,0.0,0.16,0.41,0.63,0.68,47,30,823,369,85,41,144,46,0.95,0.5,5.99
21,Rice,Declan,Rice,ARS,MID,3,True,False,100,100,204480,0,0,7,-7,0,5,4.8,1.0,0,0.0,True,,2026-03-30T10:00:10.659246Z,72,204480.jpg,5.1,False,23.3,False,,a,1,3,184,7631940,0,5848117,0,0.0,25.6,,241,2023-07-15,1999-01-14,False,p204480,3093,4,9,18,25,0,0,0,3,0,0,23,790,827.2,1027.4,298.0,215.4,127,180,69,376,35,3.15,7.32,10.47,23.87,1,,1,,,,[],,26,9,4,4,115,69,15,11,0.09,0.0,0.21,0.3,0.69,0.73,29,18,826,371,9,4,11,3,1.02,0.52,10.94
22,Merino,Mikel,Merino Zazón,ARS,MID,3,True,False,100,75,195384,0,0,-7,7,0,1,0.8,1.5,1,1.0,False,,2026-02-02T11:30:08.998402Z,53,195384.jpg,3.0,False,0.7,False,,a,1,3,67,836318,0,847590,0,0.2,12.6,,200,2024-08-27,1996-06-22,False,p195384,1024,4,3,4,10,0,0,0,1,0,0,5,236,304.4,191.8,244.0,73.6,30,57,26,113,10,3.36,1.45,4.81,7.36,,,,,,,[],,242,102,215,143,143,78,225,108,0.3,0.0,0.13,0.43,0.65,0.88,181,114,253,112,199,78,228,79,0.88,0.35,9.93
23,Fábio Vieira,Fábio,Ferreira Vieira,ARS,MID,3,True,False,0,0,438098,0,0,-1,1,0,0,0.0,0.0,0,0.0,False,has joined Hamburger on loan for the rest of the season.,2025-09-02T13:38:06.128321Z,54,438098.jpg,0.0,False,0.0,False,,u,1,3,0,933,0,4447,0,0.0,0.0,,173,2022-06-21,2000-05-30,False,p438098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,824,367,824,367,823,367,824,367,0,0,0,0,0,0,164,101,776,336,824,367,697,279,0,0,0
24,Nørgaard,Christian,Nørgaard,ARS,MID,3,True,False,100,100,128295,0,0,-4,4,0,0,1.0,2.0,1,1.0,False,,2025-08-18T08:00:05.297235Z,51,128295.jpg,1.0,False,0.1,False,,a,1,3,7,8660,0,61962,0,0.2,1.4,,58,2025-07-10,1994-03-10,False,p128295,101,0,0,0,1,0,0,0,0,0,0,0,28,23.4,5.5,10.0,4.0,9,4,3,16,1,0.08,0.04,0.12,2.28,,,,,,,[],,459,203,461,221,429,210,472,211,0.07,0.0,0.04,0.11,2.03,0.89,222,137,244,106,514,236,442,151,0.89,0.0,14.26
25,Nwaneri,Ethan,Nwaneri,ARS,MID,3,True,False,0,0,499175,0,0,-5,5,0,0,0.0,0.0,0,0.0,False,has joined Marseille on loan for the rest of the season.,2026-01-23T17:18:55.073277Z,50,499175.jpg,1.3,False,0.1,False,,u,1,3,8,13149,0,37244,0,0.0,1.6,,241,2022-09-17,2007-03-21,False,p499175,165,0,0,1,0,0,0,0,0,0,0,0,20,8.6,22.5,24.0,5.4,1,10,2,13,0,0.23,0.08,0.31,0.73,,,,,,,[],,483,215,410,204,392,195,461,205,0.13,0.0,0.04,0.17,0.4,0.0,269,163,728,306,448,198,462,158,0.0,0.55,7.09
26,Zubimendi,Martín,Zubimendi Ibáñez,ARS,MID,3,True,False,100,100,481655,0,0,-6,6,0,1,3.0,3.0,2,2.0,False,,2026-03-30T10:00:10.681664Z,49,481655.jpg,3.5,False,2.7,False,,a,1,3,133,1383151,0,1353576,0,0.4,27.1,,200,2025-07-06,1999-02-02,False,p481655,2991,5,1,16,25,0,0,0,4,0,0,9,604,603.2,385.1,271.0,126.2,123,116,68,307,34,2.84,2.27,5.11,26.09,,,,,,,[],,81,26,99,70,131,73,89,55,0.09,0.0,0.07,0.16,0.79,0.75,327,202,141,58,116,50,116,38,1.02,0.48,9.24
28,Kabia,Ismeal,Kabia,ARS,MID,3,True,False,0,0,588796,0,0,0,0,0,0,0.0,0.0,0,0.0,False,has joined Shrewsbury Town on loan for the rest of the season.,2025-09-02T13:24:41.013511Z,45,588796.jpg,0.0,False,0.1,False,,u,1,3,0,6731,0,30392,0,0.0,0.0,,152,2024-09-14,2005-12-10,False,p588796,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,753,314,746,313,733,310,753,314,0,0,0,0,0,0,490,301,616,229,755,315,496,177,0,0,0
29,Sambi,Albert,Sambi Lokonga,ARS,MID,3,True,False,0,0,437742,0,0,0,0,0,0,0.0,0.0,0,0.0,False,has joined Hamburger permanently.,2025-09-02T13:40:53.094922Z,45,437742.jpg,0.0,False,0.0,False,,u,1,3,0,2952,0,14151,0,0.0,0.0,,21,2021-07-19,1999-10-22,False,p437742,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,708,274,704,276,687,270,710,276,0,0,0,0,0,0,433,256,564,186,714,279,593,222,0,0,0
30,Havertz,Kai,Havertz,ARS,FWD,4,True,False,100,100,219847,0,0,-2,2,0,0,4.2,5.0,4,4.0,False,,2026-04-25T22:30:09.266637Z,73,219847.jpg,3.0,False,0.7,False,,a,1,3,36,197946,0,255689,0,0.5,4.9,,80,2023-06-28,1999-06-11,False,p219847,577,2,3,4,4,0,0,0,1,0,0,3,143,152.6,134.6,210.0,49.9,10,14,8,32,7,3.31,0.64,3.95,6.68,,,,,,,[],,346,35,265,31,173,40,305,35,0.52,0.0,0.1,0.62,1.04,0.62,24,10,86,10,202,22,238,36,1.09,0.62,4.99
31,G.Jesus,Gabriel,Fernando de Jesus,ARS,FWD,4,True,False,100,100,205651,0,0,-1,1,0,0,1.2,6.0,5,5.0,False,,2025-07-21T10:00:04.697564Z,64,205651.jpg,1.7,False,0.4,False,,a,1,3,24,156814,0,134920,0,0.8,3.8,Gabriel Jesus,30,2022-07-04,1997-04-03,False,p205651,418,3,0,1,6,0,0,0,3,0,0,0,92,141.8,54.3,281.0,47.5,7,19,4,30,3,2.71,0.26,2.97,3.97,,,,,,,[],,355,39,363,45,127,34,315,38,0.58,0.0,0.06,0.64,0.85,1.29,57,21,65,9,407,47,301,48,0.65,0.22,6.46
266,Eze,Eberechi,Eze,ARS,MID,3,True,False,100,100,232413,0,0,-2,2,0,3,4.8,2.0,1,1.0,False,,2026-04-25T22:30:09.375724Z,73,232413.jpg,3.4,False,8.7,False,,a,1,3,113,3651571,0,3941829,0,0.1,15.5,,241,2025-08-23,1998-06-29,False,p232413,1885,7,3,11,14,0,0,0,1,0,0,8,439,393.4,305.7,455.0,115.1,22,79,19,120,22,5.18,2.66,7.84,14.21,,,,,,,[],,187,73,143,95,60,34,108,60,0.25,0.0,0.13,0.38,0.68,0.67,26,15,297,136,141,61,48,17,1.05,0.53,5.73
662,Mosquera,Cristhian,Mosquera,ARS,DEF,2,True,False,100,100,500040,0,0,-2,2,0,0,2.8,5.0,4,4.0,False,,2025-12-04T09:00:09.512338Z,53,500040.jpg,2.0,False,0.3,False,,a,1,3,40,72218,0,57288,0,0.8,7.5,,200,2025-07-24,2004-06-27,False,p500040,986,0,0,3,8,0,0,0,4,0,0,1,195,219.2,88.7,20.0,32.9,63,35,32,95,9,0.10,0.63,0.73,9.04,,,,,,,[],,295,117,307,100,405,145,359,121,0.01,0.0,0.06,0.07,0.83,0.73,199,26,81,31,357,132,324,118,0.82,0.27,8.67
666,Gyökeres,Viktor,Gyökeres,ARS,FWD,4,True,False,100,100,224117,0,0,1,-1,0,4,6.0,2.0,1,1.0,False,,2025-11-01T18:00:08.847750Z,91,224117.jpg,3.6,False,16.4,False,,a,1,3,128,4626668,0,5611221,0,0.1,14.1,,206,2025-07-26,1998-06-04,False,p224117,2217,14,1,12,14,0,0,0,5,0,0,16,474,539.6,271.7,772.0,157.5,23,55,7,85,26,12.26,1.94,14.19,17.81,,,,,2,,[],,111,10,159,14,21,12,52,9,0.5,0.0,0.08,0.58,0.72,0.57,7,3,300,40,110,11,20,5,1.06,0.49,3.45
700,Dowman,Max,Dowman,ARS,MID,3,True,False,100,100,616077,0,0,-3,3,0,0,1.2,4.0,3,3.0,False,,2025-12-10T00:00:08.266774Z,42,616077.jpg,2.7,False,0.9,False,,a,1,3,16,291075,0,193138,0,0.7,3.8,,241,2025-07-22,2009-12-31,False,p616077,152,1,1,1,1,0,0,0,0,0,0,0,51,45.2,55.5,65.0,16.6,1,13,2,16,1,1.19,0.30,1.49,0.88,,,,,,,[],,434,189,360,189,330,170,409,187,0.7,0.0,0.18,0.88,0.52,0.59,659,379,90,40,234,91,204,71,0.59,0.59,9.47
711,Harriman-Annous,Andre,Harriman-Annous,ARS,MID,3,True,False,,,646243,0,0,-1,1,0,0,1.0,1.0,0,0.0,False,,,44,646243.jpg,0.0,False,0.0,False,,a,1,3,0,2098,0,1977,0,0.0,0.0,,241,2025-07-22,2007-12-28,False,p646243,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,697,268,692,270,673,263,699,270,0,0,0,0,0,0,582,351,548,179,703,273,707,287,0,0,0
725,Hincapie,Piero,Hincapié,ARS,DEF,2,True,False,100,100,448104,0,0,-4,4,0,3,3.5,3.0,2,2.0,False,,2026-03-30T10:00:11.369303Z,51,448104.jpg,3.5,False,0.9,False,,a,1,3,87,625158,0,522735,0,0.4,17.1,,62,2025-09-01,2002-01-09,False,p448104,1787,1,2,5,19,1,0,0,2,0,0,7,335,453.6,184.7,72.0,70.9,123,63,48,171,20,0.36,1.67,2.03,17.53,,,,,,,[],,150,63,221,55,321,103,235,80,0.02,0.0,0.08,0.1,0.88,0.96,233,36,150,57,118,45,212,82,1.01,0.25,8.61
759,Salmon,Marli,Salmon,ARS,DEF,2,True,False,,,616065,0,0,0,0,0,0,1.0,1.0,0,0.0,False,,,40,616065.jpg,0.0,False,0.0,False,,a,1,3,0,1910,0,1535,0,0.0,0.0,,241,2025-07-22,2009-08-29,False,p616065,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,636,245,628,244,598,241,639,245,0,0,0,0,0,0,746,205,439,185,646,244,664,235,0,0,0
32,Martinez,Emiliano,Martínez Romero,AVL,GKP,1,True,False,100,100,98980,0,0,0,0,0,3,2.7,-0.5,0,0.0,False,,2026-04-12T21:30:08.032006Z,50,98980.jpg,3.8,False,4.4,False,,a,2,7,120,1133258,0,844392,0,0.0,24.0,Emiliano Martínez,10,2020-09-16,1992-09-02,False,p98980,2835,0,1,7,39,0,1,0,2,0,95,11,530,769.8,23.2,0.0,79.2,27,272,0,0,32,0.00,0.08,0.08,42.92,,,,,,,[],,38,10,408,4,800,93,206,10,0.0,3.02,0.0,0.0,1.36,1.24,245,10,717,94,80,8,86,16,1.02,0.22,0.0
33,M.Bizot,Marco,Bizot,AVL,GKP,1,True,False,100,100,72147,0,0,-3,3,0,0,-0.5,1.5,2,2.0,False,,2026-02-15T00:30:06.693638Z,42,72147.jpg,2.3,False,0.4,False,,a,2,7,16,85879,0,117979,0,0.5,3.8,,152,2025-07-15,1991-03-10,False,p72147,585,0,0,1,10,0,0,0,2,0,19,0,75,139.2,0.0,0.0,13.9,10,53,0,0,6,0.00,0.00,0.00,11.02,,,,,,,[],,358,26,642,83,614,68,415,26,0.0,2.92,0.0,0.0,1.7,1.54,635,29,114,12,302,29,295,38,0.92,0.15,0.0
34,Gauci,Joe,Gauci,AVL,GKP,1,True,False,0,0,462492,0,0,0,0,0,0,0.0,0.0,0,0.0,False,Has joined Port Vale on loan for the rest of the season.,2025-08-12T07:40:37.843391Z,40,462492.jpg,0.0,False,0.1,False,,u,2,7,0,0,0,17885,0,0.0,0.0,,13,2024-02-01,2000-07-04,False,p462492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,598,75,589,64,558,49,601,75,0,0,0,0,0,0,700,53,396,62,609,75,511,74,0,0,0
35,Marschall,Filip,Marschall,AVL,GKP,1,True,False,0,0,462381,0,0,0,0,0,0,0.0,0.0,0,0.0,False,Has joined Stevenage permanently.,2025-07-30T14:08:21.698398Z,40,462381.jpg,0.0,False,0.0,False,,u,2,7,0,0,0,1303,0,0.0,0.0,,241,2021-12-13,2003-04-24,False,p462381,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,597,74,588,63,557,48,600,74,0,0,0,0,0,0,699,52,395,61,608,74,761,88,0,0,0
36,Cash,Matty,Cash,AVL,DEF,2,True,False,100,100,199796,0,0,1,-1,0,2,1.5,0.5,1,1.0,False,,2026-03-05T00:00:08.205820Z,46,199796.jpg,3.3,False,7.4,False,,a,2,7,117,2994809,0,2459799,0,0.2,25.4,,172,2020-09-03,1997-08-07,False,p199796,3016,3,3,8,38,0,0,0,9,0,0,7,450,643.0,510.7,221.0,137.5,120,88,66,186,34,1.14,2.94,4.08,45.45,3,,,,,,[],,70,32,57,8,163,35,77,15,0.03,0.0,0.09,0.12,1.36,1.13,397,67,211,83,145,52,59,17,1.01,0.24,5.55
